"Qty";"Value";"Device";"Package";"Parts";"Description";"SPICEPREFIX";
"1";"";"1N400X.1";"DO41-1";"D1";"Rectifier Diodes";"";
"1";"";"DIP2";"DIP2.B";"SW_1";"DIP 2-position";"";
"1";"";"PAD";"SQUARE";"LED-";"PAD";"";
"1";"";"PADO";"ROUND";"LED+";"PAD";"";
"1";"+9V(T)";"+9V(T)";"SQUARE";"+9V";"+9V Voltage Supply";"";
"2";"0.0047 uF";"075X0352";"075X035";"C17, C20";"0.027 - 0.033uF";"";
"1";"0.01uF";"050X030_0501";"050X030_050_1";"C14";"120 - 150pF";"";
"2";"0.1 uF";"080X0452";"080X045";"C2, C9";"0.056 - 0.082uF";"";
"1";"0.1 uF";"080X0453";"075X040_3";"C15";"0.056 - 0.082uF";"";
"2";"0.22 uF";"080X0452";"080X045";"C4, C23";"0.056 - 0.082uF";"";
"1";"0.47 uF";"080X0452";"080X045";"C8";"0.056 - 0.082uF";"";
"1";"1 uF";"070X0302";"070X030";"C5";"0.0001 - .01uF (100 - 10,000pF)";"";
"4";"1 uF";"080X0502";"080X050";"C7, C13, C16, C21";"0.1uF";"";
"1";"10 nF";"075X0352";"075X035";"C18";"0.027 - 0.033uF";"";
"1";"100 pf";"050X030_0501";"050X030_050_1";"C25";"120 - 150pF";"";
"1";"100k";"3MM.2";"R0204/2";"R30";"3mm Resistors";"";
"1";"100k";"POTTRIM";"B25P";"R20";"Potentiometers";"";
"1";"100pF";"050X030_0502";"050X030_050";"C1";"120 - 150pF";"";
"3";"10k";"3MM.2";"R0204/2";"R4, R9, R31";"3mm Resistors";"";
"10";"1M";"3MM.2";"R0204/2";"R2, R3, R5, R6, R7, R11, R12, R14, R27, R33";"3mm Resistors";"";
"5";"1k";"3MM.2";"R0204/2";"R1, R10, R17, R18, R25";"3mm Resistors";"";
"2";"1uF";"080X0502";"080X050";"C3, C24";"0.1uF";"";
"1";"220 pF";"075X0353";"075X035_3";"C11";"0.027 - 0.033uF";"";
"3";"220k";"3MM.2";"R0204/2";"R15, R22, R26";"3mm Resistors";"";
"1";"220pF";"075X0353";"075X035_3";"C12";"0.027 - 0.033uF";"";
"1";"220uF";"0631";"063_025";"C28";"33 - 220uF";"";
"3";"22k";"3MM.2";"R0204/2";"R24, R29, R36";"3mm Resistors";"";
"1";"22uF";"050";"050_020";"C27";"0.22 - 100uF";"";
"3";"4.7k";"3MM.2";"R0204/2";"R8, R19, R35";"3mm Resistors";"";
"1";"470 pF";"075X0302";"075X030";"C19";"0.015 - 0.022uF";"";
"4";"470k";"3MM.2";"R0204/2";"R13, R16, R21, R23";"3mm Resistors";"";
"1";"470pF";"050X030_0502";"050X030_050";"C6";"120 - 150pF";"";
"1";"470pF";"070X0302";"070X030";"C10";"0.0001 - .01uF (100 - 10,000pF)";"";
"1";"47k";"3MM.2";"R0204/2";"R32";"3mm Resistors";"";
"1";"50p";"050X030_0501";"050X030_050_1";"C22";"120 - 150pF";"";
"2";"6.8k";"3MM.2";"R0204/2";"R28, R34";"3mm Resistors";"";
"1";"A100k";"POT16MM";"16MM";"VOL";"Potentiometers";"";
"1";"A500k";"POT16MM";"16MM";"GAIN";"Potentiometers";"";
"1";"B500k";"POT16MM";"16MM";"TREBLE";"Potentiometers";"";
"1";"C1M";"POT16MM";"16MM";"BASS";"Potentiometers";"";
"1";"C50K";"POT16MM";"16MM";"MID";"Potentiometers";"";
"1";"GND(T)";"GND(T)";"SQUARE";"GND";"Ground";"";
"1";"IN(T)";"IN(T)";"SQUARE";"IN";"Input";"I";
"5";"J201";"J201";"TO92-";"Q1, Q2, Q3, Q4, Q5";"N-channel JFET";"";
"1";"LED3MM";"LED3MM";"LED3MM";"D2";"";"";
"1";"OUT(T)";"OUT(T)";"SQUARE";"OUT";"Output";"";
"2";"TL072P";"TL072P";"DIL08";"IC1, IC2";"OP AMP";"";
